date,volume_t-1,volume
2016-08-04,1700182,1700182
2016-08-05,1250805,1250805
2016-08-08,1311724,1311724
2016-08-09,1006170,1006170
2016-08-10,754137,754137
2016-08-11,1377024,1377024
2016-08-12,1538976,1538976
2016-08-15,2323589,2323589
2016-08-16,3175994,3175994
2016-08-17,3154934,3154934
2016-08-18,4660295,4660295
2016-08-19,3340438,3340438
2016-08-22,1626833,1626833
2016-08-23,1645348,1645348
2016-08-24,2634707,2634707
2016-08-25,2160074,2160074
2016-08-26,1581245,1581245
2016-08-29,1332975,1332975
2016-08-30,2231203,2231203
2016-08-31,1676587,1676587
2016-09-01,1257886,1257886
2016-09-02,1424454,1424454
2016-09-06,1460928,1460928
2016-09-07,1542576,1542576
2016-09-08,884738,884738
2016-09-09,2507018,2507018
2016-09-12,1835434,1835434
2016-09-13,3461832,3461832
2016-09-14,1604806,1604806
2016-09-15,1733971,1733971
2016-09-16,2592850,2592850
2016-09-19,1927900,1927900
2016-09-20,2333122,2333122
2016-09-21,1612736,1612736
2016-09-22,1307074,1307074
2016-09-23,1957032,1957032
2016-09-26,2639060,2639060
2016-09-27,1587143,1587143
2016-09-28,1502533,1502533
2016-09-29,1938218,1938218
2016-09-30,1754316,1754316
2016-10-03,1539625,1539625
2016-10-04,1763985,1763985
2016-10-05,1432268,1432268
2016-10-06,1772801,1772801
2016-10-07,1663127,1663127
2016-10-10,1544958,1544958
2016-10-11,2912537,2912537
2016-10-12,1736076,1736076
2016-10-13,1336023,1336023
2016-10-14,997137,997137
2016-10-17,1160321,1160321
2016-10-18,1949108,1949108
2016-10-19,1769090,1769090
2016-10-20,1493608,1493608
2016-10-21,1011340,1011340
2016-10-24,1666388,1666388
2016-10-25,3949609,3949609
2016-10-26,2146178,2146178
2016-10-27,2393625,2393625
2016-10-28,1471348,1471348
2016-10-31,1556762,1556762
2016-11-01,2133116,2133116
2016-11-02,2240428,2240428
2016-11-03,2510054,2510054
2016-11-04,2220908,2220908
2016-11-07,1723957,1723957
2016-11-08,2136740,2136740
2016-11-09,3501243,3501243
2016-11-10,2558722,2558722
2016-11-11,2219255,2219255
2016-11-14,3443200,3443200
